"","GDP_n","GDP_deflator","GDP_real","C_n","C_deflator","C_real","I_n","I_deflator","I_real","cpi","W_n","W_real","R_n","R_real","NX","G_n","i","wageShare","profitShare","G_share","I_share","C_share","NX_share","oecd_real"
"1",45.0577,22.3009649,202.043724126035,25.9487,24.6965506,105.070138823355,14.3857,32.4675361,44.3079510428264,24.4889035,20.1594,82.3205497951348,25.4504,103.926253782657,0.8278,2.95766,3.0925,0.447412983796332,0.564840193795955,0.0656416106459052,0.319272843487351,0.575899346837499,0.0183719985707215,9719.14277866102
"2",50.6884,23.1539078,218.919417136143,28.4956,25.4216038,112.092062421333,17.8618,34.8940961,51.1886020741486,24.9408212,22.848,91.6088520774127,28.2178,113.139017250964,-0.6762,3.62765,2.9558333333,0.450754018670939,0.556691471816037,0.0715676565052359,0.352384371966762,0.562172015688007,-0.0133403303319892,10163.9462953586
"3",56.2106,24.4485247,229.914077392163,31.8005,26.630775,119.41259689213,20.8569,37.1208965,56.1864124159825,26.0172653,25.6304,98.5130439516255,30.831,118.502077925923,-1.1671,4.21389,3.1241666667,0.455970937865812,0.548490854038206,0.0749661095949874,0.371049232706998,0.565738490604975,-0.0207629877638737,10742.6797621936
"4",61.8112,25.6149749,241.308844694593,34.5369,27.5845862,125.203618243873,23.8753,39.5683163,60.3394388049814,26.9123146,28.616,106.330504920599,33.2007,123.36620054226,-1.0732,4.82217,3.2466666667,0.462958169393249,0.537130811244564,0.0780145022261338,0.386261713087596,0.558748252743839,-0.0173625491820253,11310.3121630925
"5",68.515,27.0157214,253.611587806795,37.6969,28.8287132,130.761646343618,27.0799,41.2919664,65.5815219301351,27.7413638,31.8048,114.647571868835,36.731,132.405170361523,-1.206,5.30263,3.9708333333,0.46420199956214,0.536101583594833,0.0773937094066993,0.395240458293804,0.550199226446763,-0.0176019849667956,12034.6928689286
"6",73.3801,28.0736056,261.384665174608,40.5559,29.9823909,135.265730259023,27.1031,42.4001323,63.9222062050028,28.6885867,34.5247,120.342979460888,38.8735,135.501620928576,0.7619,5.70815,3.9458333333,0.470491318490981,0.529755342388468,0.0777888010509661,0.369352181313462,0.552682539271546,0.0103829239807523,12691.3674020487
"7",78.7998,29.4372516,267.687354345268,43.7271,31.3792189,139.350504992972,27.786,43.8383021,63.3829292398622,30.0587477,36.7861,122.380680549776,42.2658,140.610648260639,1.7548,6.08722,4.1641666667,0.466829865050419,0.536369381648177,0.0772491808354843,0.352615108160173,0.554913844958997,0.0222690920535331,13422.8503531409
"8",84.8223,30.7639731,275.719588377874,46.9818,32.7526458,143.44428931601,28.4377,44.866623,63.3827511377444,31.2626596,39.9488,127.784393622096,45.1468,144.411257959639,2.2706,6.46629,4.6033333333,0.470970487713726,0.532251542342049,0.0762333725918774,0.335262071412824,0.553885004297219,0.0267689039321028,13966.3723285082
"9",90.5736,31.6785857,285.914279310771,50.0582,33.5514917,149.198135354441,29.7878,45.5696907,65.3675711694045,32.0116573,42.6479,133.226154460925,48.3687,151.097144226894,3.6804,6.96879,4.3725,0.470864578641017,0.534026471289647,0.0769406317072524,0.328879496895343,0.552679809569234,0.0406343570311879,14802.0235704485
"10",98.1395,32.5022489,301.946798518302,54.2492,34.4914035,157.283248853588,32.5812,47.0031574,69.3170454970329,32.808439,45.9409,140.027692265396,52.3696,159.62234594581,3.6935,7.652,4.9,0.468118341748226,0.533624075932728,0.0779706438284279,0.331988648811131,0.55277640501531,0.0376352029509015,15626.5079774359
"11",109.3165,34.0394167,321.146807430458,59.4378,35.8557193,165.769370020699,38.7265,51.4769299,75.2307879961583,33.9947878,51.6933,152.062428817397,57.5311,169.235061381969,0.388,8.4939,5.7158333333,0.472877378986704,0.526280113249144,0.0777000727246116,0.354260335813898,0.543722127949578,0.00354932695430242,16229.9269013136
"12",124.1831,37.1544139,334.235120312314,66.5931,38.3464598,173.661663546839,46.7496,56.5655583,82.6467578593669,36.2293404,60.103,165.895926716899,63.9804,176.598302076733,0.3062,10.04441,5.2658333333,0.48398695152561,0.515210201710217,0.0808838722821382,0.376457021929715,0.536249296401845,0.00246571393369951,16835.9778195764
"13",140.7195,40.7962723,344.932250096782,75.5608,41.2664677,183.104598506744,53.7562,61.9583328,86.7618568329198,38.642217,68.3148,176.78799329759,71.9028,186.073174838804,1.3703,11.35352,4.9633333333,0.485467898905269,0.510965431230213,0.0806819239693148,0.382009600659468,0.536960407050906,0.0097378117460622,17757.106494492
"14",156.8158,44.1172446,355.452389245542,84.6619,44.9948375,188.15914159041,59.2963,66.4167269,89.2791662095592,42.0252157,77.8813,185.320405149045,78.0864,185.808445475748,1.2323,13.06487,5.5941666667,0.496641920010611,0.497949823933558,0.0833134798916946,0.378127076480814,0.539881185441773,0.00785826428204301,18854.1216016868
"15",170.1269,47.1757161,360.623884626099,92.6733,49.4932132,187.244460418262,60.3438,70.5934797,85.4806991473463,46.1299927,86.5881,187.704560378133,82.9447,179.806445102689,-0.3648,14.66894,7.1291666667,0.50896183966204,0.487546061204901,0.0862235190319697,0.354698757221815,0.544730433576348,-0.00214428170971199,19068.3436618114
"16",168.9876,50.5407633,334.359018277826,95.9256,52.7727776,181.77098944286,52.2276,70.6980179,73.8742068750417,49.2191315,88.7348,180.285180367313,78.4706,159.431094390603,8.6116,15.80383,6.4358333333,0.525096515957384,0.46435714809844,0.0935206488523418,0.309061729973087,0.567648750559213,0.0509599520911594,19146.4727846465
"17",171.164,51.9204496,329.665866375703,99.1225,53.9561718,183.709289768404,45.3606,68.6124333,66.1113413682123,50.0634741,89.287,178.347590943554,80.1654,160.127520994393,9.6444,16.7019,4.9825,0.521645906849571,0.46835432684443,0.0975783459138604,0.265012502629058,0.579108340538898,0.0563459605991914,20076.7767167203
"18",175.7818,52.0544003,337.688646852013,103.2977,54.5752666,189.275667230547,46.9203,69.8409527,67.1816437005734,50.7122963,91.3816,180.196139136377,82.4891,162.660944225474,9.047,16.88508,4.045,0.519858142310524,0.469269856151206,0.096057043448184,0.266923538159241,0.587647299094673,0.0514672167425752,20823.422459745
"19",182.8775,53.9350111,339.070107283245,106.2331,54.9071782,193.477617103259,50.4197,70.7331483,71.2815719528774,51.2340208,96.0659,187.504120309058,84.0736,164.097212530311,8.3264,17.43472,3.3266666667,0.525301909748329,0.459726319530833,0.0953355114762614,0.275702040983719,0.580897595384889,0.0455299312381239,21755.9946883242
